frame_num,x1,y1
342,253,584
343,275,581
344,286,583
345,308,581
377,503,37
378,511,38
379,516,40
380,519,45
381,526,53
382,533,63
383,535,70
384,537,85
385,538,97
386,537,116
387,541,130
425,505,704
426,502,695
427,501,684
428,502,676
429,504,662
430,510,649
431,515,624
432,520,609
433,526,590
434,531,573
435,545,545
436,558,518
458,437,56
459,431,51
460,431,50
461,438,48
462,444,47
463,459,47
465,494,55
466,502,62
467,506,69
469,515,93
470,516,106
471,521,123
472,526,138
473,539,166
503,494,702
504,494,695
505,495,680
506,498,662
507,504,647
508,512,627
509,523,602
510,530,586
511,536,570
553,589,72
556,563,99
557,557,118
558,549,131
559,545,150
560,541,173
808,482,710
810,488,695
811,493,687
812,499,674
813,500,656
814,499,640
815,500,621
816,502,604
817,516,576
818,524,558
819,537,527
820,541,503
821,547,462
849,677,80
852,644,81
853,636,84
855,612,94
856,590,97
857,581,103
858,572,117
859,564,136
860,563,149
861,559,170
862,556,196
863,556,215
864,558,246
865,560,266
891,468,707
892,472,700
893,480,692
894,485,688
895,492,679
896,494,668
897,497,651
898,498,641
899,499,625
900,497,612
901,497,595
902,499,570
903,500,553
904,505,523
905,508,500
906,514,477
927,428,55
928,432,52
929,443,51
931,474,52
932,489,53
933,500,60
934,507,69
935,512,76
936,519,87
937,524,99
938,531,119
939,540,142
940,550,164
941,557,191
969,484,704
970,484,697
971,480,688
972,478,677
973,479,666
974,481,657
975,484,648
976,489,630
977,494,618
978,501,601
979,508,582
980,514,564
981,523,533
982,531,514
983,539,486
984,545,464
985,558,431
1014,531,34
1015,533,40
1016,540,47
1017,545,50
1018,548,56
1019,549,64
1020,548,72
1021,545,85
1022,544,94
1023,543,109
1024,545,121
1025,550,143
1026,557,159
1027,565,178
1028,570,206
1058,502,703
1059,501,696
1060,500,685
1061,496,676
1062,493,664
1063,493,650
1064,496,632
1065,500,616
1066,507,599
1067,510,586
1068,517,559
1069,523,526
1070,531,493
1071,534,470
1072,541,440
1073,547,415
1106,684,80
1107,683,85
1109,660,88
1110,652,86
1111,644,87
1113,615,95
1115,595,111
1116,587,123
1117,577,137
1118,571,149
1119,564,163
1120,563,183
1121,563,201
1154,504,703
1155,503,694
1156,500,687
1157,493,676
1158,491,665
1159,491,658
1160,493,643
1161,499,632
1162,509,617
1163,517,601
1164,520,589
1165,523,562
1166,525,532
1167,529,504
1168,531,485
1169,534,463
1170,542,428
1198,525,39
1199,535,48
1200,543,55
1201,545,60
1202,546,73
1203,544,83
1204,541,96
1205,539,106
1206,542,127
1207,549,151
1208,556,166
1209,564,193
1210,565,210
